"","Category","Subcategory","Attribute","SubAttribute","MicroAttribute","Measurement","Value","Bil_Dols","Value_Type","Year"
"1","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",252019,252.019,"[Millions of chained (2017) dollars]",2022
"2","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",231725,231.725,"[Millions of chained (2017) dollars]",2021
"3","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",222289,222.289,"[Millions of chained (2017) dollars]",2020
"4","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",218276,218.276,"[Millions of chained (2017) dollars]",2019
"5","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",215804,215.804,"[Millions of chained (2017) dollars]",2018
"6","Computer and electronic products","Private industries_SC","Manufacturing_A","Durable goods_SA","Computer and electronic products_MA","Digital Economy Real Gross Output by Industry",206305,206.305,"[Millions of chained (2017) dollars]",2017
"7","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",282544,282.544,"[Millions of chained (2017) dollars]",2022
"8","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",261756,261.756,"[Millions of chained (2017) dollars]",2021
"9","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",249827,249.827,"[Millions of chained (2017) dollars]",2020
"10","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",247558,247.558,"[Millions of chained (2017) dollars]",2019
"11","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",246188,246.188,"[Millions of chained (2017) dollars]",2018
"12","Durable goods","Private industries_SC","Manufacturing_A","Durable goods_TOTAL_SA","Durable goods_TOTAL_MA","Digital Economy Real Gross Output by Industry",242407,242.407,"[Millions of chained (2017) dollars]",2017
"13","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",6059,6.059,"[Millions of chained (2017) dollars]",2017
"14","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",5851,5.851,"[Millions of chained (2017) dollars]",2022
"15","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",5659,5.659,"[Millions of chained (2017) dollars]",2021
"16","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",5551,5.551,"[Millions of chained (2017) dollars]",2018
"17","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",5132,5.132,"[Millions of chained (2017) dollars]",2020
"18","Chemical products","Private industries_SC","Manufacturing_A","Nondurable goods_SA","Chemical products_MA","Digital Economy Real Gross Output by Industry",5088,5.088,"[Millions of chained (2017) dollars]",2019
